Neighborhoods,Latitude,Longitude
East New York,40.66643000000005,-73.88268999999997
Flatbush,40.651850000000024,-73.95907999999997
Flatlands,40.621140000000025,-73.93527999999998
Fort Greene/Clinton Hill,40.68683210315167,-73.9646104736511
Gerritsen Beach,40.59176000000008,-73.92759999999998
Gowanus,40.672360000000026,-73.99026999999995
Gravesend,40.597570000000076,-73.96541999999994
Greenpoint,40.72367000000003,-73.95104999999995
Greenwood Heights,40.60216003358465,-73.74794492206905
Manhattan Beach,40.57737000000003,-73.94773999999995
Marine Park,40.611920000000055,-73.93661999999995
Midwood,40.62326000000007,-73.95652999999999
Mill Basin,40.61109000000005,-73.90956999999997
Park Slope,40.67044000000004,-73.98717999999997
Prospect Heights,40.67747000000003,-73.96582999999998
Prospect Park South/Kensington,40.64494637632198,-73.97439081562848
Red Hook,40.675020000000075,-74.01022999999998
Sea Gate,40.58055000000007,-74.00390999999996
Sheepshead Bay,40.590940000000046,-73.94492999999994
Sunset Park,40.64558000000005,-74.00981999999993
Williamsburg,40.71407000000005,-73.95362999999998
Windsor Terrace,40.65397000000007,-73.97784999999999
Annadale,40.53861000000006,-74.17163999999997
Arden Heights,40.554140000000075,-74.17390999999998
Arrochar,40.59840000000003,-74.07257999999996
Bay Street,40.77186002431989,-73.75049494847212
Bulls Head,40.60705000000007,-74.16244999999998
Castleton Corners,40.61304000000007,-74.12309999999997
Charleston,40.53668000000005,-74.23903999999999
Clifton,40.619980000000055,-74.07731999999999
Dongan Hills,40.58834000000007,-74.09648999999996
Eltingville,40.543540000000064,-74.16385999999994
Emerson Hill,40.60838000000007,-74.11614999999995
Graniteville,40.624990000000025,-74.14878999999996
Grant City,40.83292573887018,-73.91536171125898
Grasmere/Concord,40.603430680900786,-74.07280314464371
Great Kills,40.554160000000024,-74.15239999999994
Grymes Hill,40.61855000000003,-74.09377999999998
Huguenot,40.536830000000066,-74.19561999999996
Livingston,40.89507556157795,-73.90163076125027
Manor Heights,40.77640108930957,-73.75090374919988
Mariners Harbor,40.635500000000036,-74.15921999999995
Midland Beach,40.57284000000004,-74.09522999999996
New Brighton,40.64207000000005,-74.09335999999996
New Dorp/New Dorp Beach,40.569396159132374,-74.10774526895966
New Springville,40.592460000000074,-74.16127999999998
Oakwood,40.56390000000005,-74.11636999999996
Pleasant Plains,40.52391000000006,-74.21644999999995
Port Richmond,40.633650000000046,-74.12873999999994
Prince's Bay,40.521960000000036,-74.19861999999995
Richmondtown,40.56911000000008,-74.13095999999996
Rosebank,40.61396000000008,-74.06640999999996
Rossville,40.55565000000007,-74.21357999999998
Shore Acres,40.60955000000007,-74.06616999999994
Silver Lake,40.6322247695688,-74.09371565293775
South Beach,40.59021000000007,-74.06686999999994
St. George,40.64228000000003,-74.08077999999995
Stapleton,40.62659000000008,-74.07636999999994
Todt Hill,40.63665000000003,-74.08574999999996
Tompkinsville,40.511280000000056,-74.25056999999998
Tottenville,40.59315000000004,-74.18819999999994
Travis,40.63474000000008,-74.11270999999994
West New Brighton,40.621020000000044,-74.13204999999994
Westerleigh,40.603170000000034,-74.13904999999994
Willowbrook,40.54316000000006,-74.19760999999994
Woodrow,40.54316000000006,-74.19760999999994
